ENS,Gene,SGPL1_Control.A,SGPL1_Control.B,SGPL1_Control.C,SGPL1_KO.A,SGPL1_KO.B,SGPL1_KO.C,SGPL1_OE.A,SGPL1_OE.B,SGPL1_OE.C
ENSG00000164877,MICALL2,9.624468522,11.74270374,11.16693767,6.025106727,4.411607814,4.516501778,10.2835633,12.34135329,10.66226281
ENSG00000204516,MICB,8.703775151,11.09345561,8.873430859,5.174528758,11.19477208,7.988048136,22.43218247,16.87691458,20.22892165
ENSG00000273340,MICE,2.631067726,1.863025112,2.781699427,0.695204622,0.652351267,3.298140919,5.710344043,4.118827377,2.269487855
ENSG00000107745,MICU1,45.83604123,51.59370433,47.62468731,50.32418777,51.43489987,40.89932034,42.26690179,39.58864611,39.30970565
ENSG00000165487,MICU2,37.56420472,36.04468752,37.16897885,41.75413975,44.82232955,42.56041885,42.72357726,42.09918025,43.69867169
ENSG00000101871,MID1,24.62007207,22.99221392,25.83498612,16.42750131,14.01716488,14.88306656,24.6196973,22.6927775,19.11074215
ENSG00000165175,MID1IP1,130.0043985,131.0374197,126.16522,120.0160722,123.2725298,101.5476828,147.3035227,129.1675726,117.856813
ENSG00000238123,MID1IP1-AS1,16.19226255,9.172425766,2.445612642,6.417700118,15.05526097,8.698971984,7.530624686,2.304392299,4.655669234
ENSG00000080561,MID2,12.7781368,16.00805982,17.07269788,5.973551891,8.164290911,7.744903267,17.37125694,16.22673144,14.41348292
ENSG00000167470,MIDN,99.81280579,114.0141507,112.7943555,84.87594136,86.1970667,68.93076761,100.4351524,113.9001811,102.0364052
ENSG00000100335,MIEF1,37.06967214,42.51124927,40.95680926,33.96270121,29.97102911,24.17212687,45.09935462,44.67013382,33.98340693
ENSG00000177427,MIEF2,28.39064686,27.59242262,28.95665476,22.03421327,31.01399177,22.05105511,25.61363522,20.62979773,25.17192183
ENSG00000141741,MIEN1,45.04626347,36.40151688,35.21105919,52.51781173,47.61315587,47.90342091,32.89765286,35.94263728,40.24704538
ENSG00000198160,MIER1,25.7573039,27.14918285,28.73247508,31.89016963,40.09689327,40.78797565,25.72652427,23.77426466,25.92047926
ENSG00000105556,MIER2,13.96824117,14.60725267,13.72549652,10.68889148,12.12158056,12.15379736,14.14746907,14.6791444,13.92810783
ENSG00000155545,MIER3,21.80803671,23.11489492,20.02491226,22.81997411,24.09817051,18.9184653,15.88622497,18.26719726,18.98459604
ENSG00000125457,MIF4GD,22.01117396,26.34004984,17.61972839,22.53697053,18.96476643,21.87637351,29.51627347,23.49380435,27.63553191
ENSG00000180488,MIGA1,18.63517104,18.09036381,20.383003,13.22319965,12.78071943,13.1870277,20.87478059,18.60714872,14.31697968
ENSG00000148343,MIGA2,20.77090613,21.5483598,23.20033421,8.104781974,11.79703047,10.2937375,19.32007933,19.38585562,16.5275519
ENSG00000116691,MIIP,22.04450227,21.70037914,19.06901655,14.68419533,12.17371639,14.68638919,23.58759295,31.32862583,23.27009436
ENSG00000271605,MILR1,0.957880856,3.798273225,3.038161961,2.214624857,3.324979808,1.200739158,2.858541089,0,0.321316379
ENSG00000253716,MINCR,5.684678542,5.635346549,5.108613075,6.308641161,7.399709965,8.907444079,2.467551095,3.397849038,4.195173846
ENSG00000143409,MINDY1,32.22592096,32.85576455,32.0096642,21.74210289,21.5961472,18.25744155,24.14354286,21.02150275,18.00388546
ENSG00000128923,MINDY2,20.46971327,22.20728299,22.51701997,10.80523292,10.05934763,9.225903578,25.65754618,28.77784773,21.35547369
ENSG00000148481,MINDY3,25.25510029,22.60628727,29.51754381,22.07483357,27.09479687,32.86041463,25.44038528,25.58378003,26.52320654
ENSG00000141503,MINK1,145.1436122,154.6273891,161.5205103,80.38403992,86.56108272,70.00469592,170.706926,163.8160696,137.5497201
ENSG00000173436,MINOS1,3.333005868,2.517395685,3.188222028,2.568641531,2.479172901,1.890068609,2.497382347,3.162231769,4.046240998
ENSG00000107789,MINPP1,27.38707411,34.00820505,33.37446593,40.65748809,36.02483923,43.00373466,32.37894048,30.15492475,40.13206426
ENSG00000164654,MIOS,20.85652167,21.18920519,20.13314,14.85546869,18.43645343,17.37548609,23.617044,21.42254241,19.25045956
ENSG00000027001,MIPEP,60.97019082,64.0039308,68.39630728,64.93217329,68.94965876,67.7396925,52.93071897,57.15817924,53.2186417
ENSG00000233325,MIPEPP3,2.819305727,1.397419809,2.235535705,2.607299021,2.446581577,0,2.294582562,4.212892243,4.25574951
ENSG00000151338,MIPOL1,2.662956081,3.85332474,2.088855124,1.946332625,2.031357417,2.099781484,2.796557908,2.610051446,2.723049205
ENSG00000255248,MIR100HG,1.259899696,1.098488352,0.866622205,1.221309681,1.488517174,1.350993962,1.004819294,1.270235024,1.059113696
ENSG00000207744,MIR10B,0,3.919127373,0,0,0,0,4.290174064,0,2.652320654
ENSG00000283498,MIR1244-2,276.2753771,213.0160996,324.5471836,269.6944096,324.1072965,339.9080661,310.911438,412.8386581,391.295306
ENSG00000283429,MIR1244-3,15.34863206,10.14362379,0,9.462961742,0,6.413359737,11.10397993,30.58064134,10.29724489
ENSG00000283475,MIR1244-4,0,5.071811894,0,0,0,0,0,5.096773556,0
ENSG00000221598,MIR1249,0,0,6.966290556,0,0,8.259629964,0,0,0
ENSG00000221184,MIR1254-1,4.483277407,17.77748499,4.739950276,8.292286063,0,0,9.73029169,13.39873461,12.03114524
ENSG00000284015,MIR1281,0,0,17.02871025,0,13.97722993,0,26.21773039,0,5.402875407
ENSG00000207611,MIR149,4.886268634,9.687730585,30.99607933,0,0,0,5.302462326,0,3.278149124
ENSG00000224020,MIR181A2HG,3.941491617,0,4.167146617,3.645098556,5.700682904,2.47040292,0.712868802,1.308839131,0.881435867
